elo_diff,avg_elo,material_diff_last,material_diff_avg,material_diff_var,ply_count,time_base,time_increment,outcome
139.0,1637.5,-15,-5.8,13.959999999999999,20,900.0,2.0,-1
-79.0,1631.5,-25,-15.8,45.160000000000004,88,900.0,0.0,-1
124.0,1600.0,0,1.5,1.85,138,900.0,0.0,0
178.0,2192.0,3,3.0,0.0,83,900.0,0.0,1
-65.0,1656.5,-15,-7.8,5.76,128,900.0,0.0,-1
99.0,1631.5,-12,-11.7,0.8099999999999999,36,900.0,0.0,-1
-113.0,1600.5,-9,-7.5,6.45,136,900.0,0.0,-1
42.0,2051.0,-9,-5.2,6.36,76,900.0,0.0,-1
-87.0,1631.5,0,1.1,7.290000000000001,26,900.0,0.0,-1
101.0,1600.5,22,18.0,16.0,133,900.0,0.0,1
7.0,1670.5,-3,-2.7,0.8099999999999999,134,900.0,0.0,-1
-51.0,1656.5,-15,-7.8,5.76,126,900.0,0.0,-1
-28.0,2051.0,-6,-6.0,0.0,136,900.0,0.0,-1
-104.0,1983.0,8,4.0,16.0,161,900.0,0.0,1
-89.0,1600.5,-8,-8.0,0.0,98,900.0,0.0,-1
181.0,1932.5,0,0.2,3.3600000000000003,50,900.0,0.0,-1
12.0,2051.0,0,-0.9,0.09,33,900.0,0.0,1
-46.0,1526.0,-4,-3.4,0.24,52,900.0,0.0,-1
32.0,1526.0,7,5.6,3.2399999999999998,109,600.0,12.0,1
22.0,1664.0,-10,-7.5,10.45,94,900.0,0.0,-1
92.0,1983.0,10,7.3,0.8099999999999999,47,900.0,0.0,1
203.0,1736.5,11,6.2,3.3600000000000003,63,900.0,0.0,1
-307.0,1871.5,-7,-3.1,11.489999999999998,30,900.0,0.0,-1
44.0,1555.0,0,-0.8,2.36,42,900.0,2.0,-1
7.0,1521.5,3,-2.2,4.36,77,600.0,12.0,1
-77.0,1949.5,-1,-2.2,7.56,67,2700.0,45.0,1
-92.0,1752.0,-15,-8.2,21.96,108,1200.0,5.0,-1
143.0,1637.5,-19,-13.4,13.440000000000001,94,900.0,2.0,-1
-25.0,1521.5,10,3.4,7.239999999999999,29,600.0,12.0,1
-149.0,1637.5,0,-4.5,2.25,221,900.0,2.0,0
-99.0,1589.5,-9,-8.5,2.25,86,900.0,0.0,-1
709.0,1544.5,18,16.4,3.04,47,900.0,0.0,1
-89.0,1810.5,5,4.9,0.09,106,900.0,0.0,-1
97.0,2095.5,-6,-5.2,0.15999999999999998,86,900.0,0.0,-1
60.0,1577.0,13,10.4,2.84,73,900.0,0.0,1
18.0,2046.0,-2,-2.0,0.8,47,900.0,0.0,-1
101.0,1655.5,19,17.7,6.8100000000000005,121,1200.0,5.0,1
-163.0,1746.5,-8,-8.3,5.41,87,900.0,0.0,-1
-36.0,2046.0,4,1.9,1.29,65,900.0,0.0,1
-708.0,1545.0,-11,-8.9,3.0900000000000003,48,900.0,0.0,-1
